value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"361","http://espn.go.com/nba/player/_/id/6633/robbie-hummel","Robbie Hummel","",", SF","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$880,000","880000"
"362","http://espn.go.com/nba/player/_/id/2531210/allen-crabbe","Allen Crabbe","",", SF","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$862,000","862000"
"363","http://espn.go.com/nba/player/_/id/4305/ish-smith","Ish Smith","",", PG","Oklahoma City Thunder","http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder","Oklahoma City Thunder","","$861,405","861405"
"364","http://espn.go.com/nba/player/_/id/3102534/damien-inglis","Damien Inglis","",", SF","Milwaukee Bucks","http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks","Milwaukee Bucks","","$820,000","820000"
"365","http://espn.go.com/nba/player/_/id/2490589/isaiah-canaan","Isaiah Canaan","",", PG","Philadelphia 76ers","http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers","Philadelphia 76ers","","$816,842","816842"
"366","http://espn.go.com/nba/player/_/id/2488660/glen-rice-jr.","Glen Rice Jr.","",", SG","Washington Wizards","http://espn.go.com/nba/team/_/name/wsh/washington-wizards","Washington Wizards","","$816,482","816482"
"367","http://espn.go.com/nba/player/_/id/2583664/tony-mitchell","Tony Mitchell","",", PF","Golden State Warriors","http://espn.go.com/nba/team/_/name/gs/golden-state-warriors","Golden State Warriors","","$816,482","816482"
"368","http://espn.go.com/nba/player/_/id/2489530/troy-daniels","Troy Daniels","",", SG","Charlotte Hornets","http://espn.go.com/nba/team/_/name/cha/charlotte-hornets","Charlotte Hornets","","$816,482","816482"
"369","http://espn.go.com/nba/player/_/id/2488706/peyton-siva","Peyton Siva","",", PG","Orlando Magic","http://espn.go.com/nba/team/_/name/orl/orlando-magic","Orlando Magic","","$816,482","816482"
"370","http://espn.go.com/nba/player/_/id/2530722/phil-pressey","Phil Pressey","",", PG","Boston Celtics","http://espn.go.com/nba/team/_/name/bos/boston-celtics","Boston Celtics","","$816,482","816482"
"RK","","","","NAME","TEAM","","","","SALARY",""
"371","http://espn.go.com/nba/player/_/id/2528447/ray-mccallum","Ray McCallum","",", PG","Sacramento Kings","http://espn.go.com/nba/team/_/name/sac/sacramento-kings","Sacramento Kings","","$816,482","816482"
"372","http://espn.go.com/nba/player/_/id/2531185/carrick-felix","Carrick Felix","",", SG","Utah Jazz","http://espn.go.com/nba/team/_/name/utah/utah-jazz","Utah Jazz","","$816,482","816482"
"373","http://espn.go.com/nba/player/_/id/3969/nick-calathes","Nick Calathes","",", SG","Memphis Grizzlies","http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies","Memphis Grizzlies","","$816,482","816482"
"374","http://espn.go.com/nba/player/_/id/2333797/jeff-withey","Jeff Withey","",", C","New Orleans Pelicans","http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans","New Orleans Pelicans","","$816,482","816482"
