value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"41","http://espn.go.com/nba/player/_/id/3213/al-horford","Al Horford","",", C","Atlanta Hawks","http://espn.go.com/nba/team/_/name/atl/atlanta-hawks","Atlanta Hawks","","$12,000,000","12000000"
"42","http://espn.go.com/nba/player/_/id/3416/nicolas-batum","Nicolas Batum","",", SG","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$11,765,500","11765500"
"43","http://espn.go.com/nba/player/_/id/4000/ty-lawson","Ty Lawson","",", PG","Denver Nuggets","http://espn.go.com/nba/team/_/name/den/denver-nuggets","Denver Nuggets","","$11,595,506","11595506"
"44","http://espn.go.com/nba/player/_/id/2987/andrea-bargnani","Andrea Bargnani","",", C","New York Knicks","http://espn.go.com/nba/team/_/name/ny/new-york-knicks","New York Knicks","","$11,500,000","11500000"
"45","http://espn.go.com/nba/player/_/id/3442/deandre-jordan","DeAndre Jordan","",", C","Los Angeles Clippers","http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers","Los Angeles Clippers","","$11,440,123","11440123"
"46","http://espn.go.com/nba/player/_/id/3983/tyreke-evans","Tyreke Evans","",", SG","New Orleans Pelicans","http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans","New Orleans Pelicans","","$11,265,416","11265416"
"47","http://espn.go.com/nba/player/_/id/3452/javale-mcgee","JaVale McGee","",", C","Philadelphia 76ers","http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers","Philadelphia 76ers","","$11,250,000","11250000"
"48","http://espn.go.com/nba/player/_/id/4265/larry-sanders","Larry Sanders","",", C","Milwaukee Bucks","http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks","Milwaukee Bucks","","$11,000,000","11000000"
"49","http://espn.go.com/nba/player/_/id/3428/danilo-gallinari","Danilo Gallinari","",", SF","Denver Nuggets","http://espn.go.com/nba/team/_/name/den/denver-nuggets","Denver Nuggets","","$10,854,850","10854850"
"50","http://espn.go.com/nba/player/_/id/3975/stephen-curry","Stephen Curry","",", PG","Golden State Warriors","http://espn.go.com/nba/team/_/name/gs/golden-state-warriors","Golden State Warriors","","$10,629,213","10629213"
"RK","","","","NAME","TEAM","","","","SALARY",""
"51","http://espn.go.com/nba/player/_/id/2758/marcin-gortat","Marcin Gortat","",", C","Washington Wizards","http://espn.go.com/nba/team/_/name/wsh/washington-wizards","Washington Wizards","","$10,434,782","10434782"
"52","http://espn.go.com/nba/player/_/id/215/tim-duncan","Tim Duncan","",", C","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$10,361,446","10361446"
"53","http://espn.go.com/nba/player/_/id/1026/gerald-wallace","Gerald Wallace","",", SF","Boston Celtics","http://espn.go.com/nba/team/_/name/bos/boston-celtics","Boston Celtics","","$10,105,855","10105855"
"54","http://espn.go.com/nba/player/_/id/3978/demar-derozan","DeMar DeRozan","",", SG","Toronto Raptors","http://espn.go.com/nba/team/_/name/tor/toronto-raptors","Toronto Raptors","","$10,100,000","10100000"
"55","http://espn.go.com/nba/player/_/id/3995/jrue-holiday","Jrue Holiday","",", PG","New Orleans Pelicans","http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans","New Orleans Pelicans","","$9,904,495","9904495"
"56","http://espn.go.com/nba/player/_/id/2429/luol-deng","Luol Deng","",", SF","Miami Heat","http://espn.go.com/nba/team/_/name/mia/miami-heat","Miami Heat","","$9,714,461","9714461"
"57","http://espn.go.com/nba/player/_/id/2419/anderson-varejao","Anderson Varejao","",", PF","Cleveland Cavaliers","http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers","Cleveland Cavaliers","","$9,704,545","9704545"
"58","http://espn.go.com/nba/player/_/id/592/steve-nash","Steve Nash","",", PG","Los Angeles Lakers","http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers","Los Angeles Lakers","","$9,701,000","9701000"
