"","Player","Position","Team","Salary14-15"
"3","Joe Johnson",", SF","Brooklyn Nets","$23,180,790"
"9","Deron Williams",", PG","Brooklyn Nets","$19,754,465"
"21","Brook Lopez",", C","Brooklyn Nets","$15,719,062"
"65","Jarrett Jack",", PG","Brooklyn Nets","$6,300,000"
"152","Mirza Teletovic",", PF","Brooklyn Nets","$3,368,100"
"157","Andrei Kirilenko",", SF","Brooklyn Nets","$3,326,235"
"264","Sergey Karasev",", SG","Brooklyn Nets","$1,533,840"
"282","Mason Plumlee",", C","Brooklyn Nets","$1,357,080"
"291","Alan Anderson",", SG","Brooklyn Nets","$1,276,061"
"330","Thaddeus Young",", PF","Brooklyn Nets","$9,410,869"
"422","Darius Morris",", PG","Brooklyn Nets","$702,756"
"433","Cory Jefferson",", PF","Brooklyn Nets","$507,336"
"468","Jorge Gutierrez",", PG","Brooklyn Nets","$96,056"
"32","Al Jefferson",", C","Charlotte Hornets","$13,500,000"
"53","Marvin Williams",", PF","Charlotte Hornets","$7,000,000"
"71","Gerald Henderson",", SG","Charlotte Hornets","$6,000,000"
"97","Michael Kidd-Gilchrist",", SF","Charlotte Hornets","$5,016,960"
"127","Cody Zeller",", PF","Charlotte Hornets","$4,030,560"
"132","Mo Williams",", PG","Charlotte Hornets","$3,965,074"
"137","Bismack Biyombo",", C","Charlotte Hornets","$3,873,398"
"164","Kemba Walker",", PG","Charlotte Hornets","$3,272,091"
"167","Gary Neal",", PG","Charlotte Hornets","$3,250,000"
"195","Brian Roberts",", PG","Charlotte Hornets","$2,732,000"
"204","Noah Vonleh",", PF","Charlotte Hornets","$2,524,200"
"305","P.J. Hairston",", SF","Charlotte Hornets","$1,149,720"
"334","Lance Stephenson",", SF","Charlotte Hornets","$9,000,000"
"383","Jason Maxiell",", PF","Charlotte Hornets","$915,243"
"384","Jannero Pargo",", PG","Charlotte Hornets","$915,243"
"385","Jeff Taylor",", SF","Charlotte Hornets","$915,243"
"405","Troy Daniels",", SG","Charlotte Hornets","$816,482"
"13","Derrick Rose",", PG","Chicago Bulls","$18,862,876"
"39","Joakim Noah",", C","Chicago Bulls","$12,700,000"
"49","Pau Gasol",", C","Chicago Bulls","$7,128,000"
"93","Nikola Mirotic",", PF","Chicago Bulls","$5,305,000"
"158","Mike Dunleavy",", SG","Chicago Bulls","$3,326,235"
"200","Kirk Hinrich",", SG","Chicago Bulls","$2,732,000"
"215","Doug McDermott",", SF","Chicago Bulls","$2,277,960"
"234","Jimmy Butler",", SG","Chicago Bulls","$2,008,748"
"271","Tony Snell",", SF","Chicago Bulls","$1,472,400"
"277","Mike James",", PG","Chicago Bulls","$1,448,490"
"288","Ronnie Brewer",", SF","Chicago Bulls","$1,310,286"
"379","E'Twaun Moore",", SG","Chicago Bulls","$948,163"
"7","LeBron James",", SF","Cleveland Cavaliers","$20,644,400"
"19","Kevin Love",", PF","Cleveland Cavaliers","$15,719,063"
"51","Kyrie Irving",", PG","Cleveland Cavaliers","$7,070,730"
"96","Tristan Thompson",", C","Cleveland Cavaliers","$5,138,430"
"198","Mike Miller",", SG","Cleveland Cavaliers","$2,732,000"
"218","Brendan Haywood",", C","Cleveland Cavaliers","$2,213,668"
"327","Anderson Varejao",", PF","Cleveland Cavaliers","$9,704,545"
"391","Shawn Marion",", SG","Cleveland Cavaliers","$915,243"
"396","Joe Harris",", SG","Cleveland Cavaliers","$884,879"
"435","Will Cherry",", PG","Cleveland Cavaliers","$495,399"
"27","Tyson Chandler",", C","Dallas Mavericks","$14,846,888"
"31","Chandler Parsons",", SF","Dallas Mavericks","$14,700,000"
"38","Rajon Rondo",", PG","Dallas Mavericks","$12,909,090"
"136","Devin Harris",", PG","Dallas Mavericks","$3,878,896"
