"","College","Longitude","Latitude"
"1","Community College of the Air Force",-86.244548,32.406138
"2","Alabama A & M University",-86.568502,34.783368
"3","University of Alabama at Birmingham",-86.80917,33.50223
"4","Amridge University",-86.17401,32.362609
"5","University of Alabama in Huntsville",-86.63842,34.722818
"6","Alabama State University",-86.295677,32.364317
"7","University of Alabama System Office",-87.530049,33.206704
"8","The University of Alabama",-87.545766,33.2144
"9","Central Alabama Community College",-85.94653,32.924429
"10","Athens State University",-86.96514,34.805625
"11","Auburn University at Montgomery",-86.177351,32.369939
"12","Auburn University",-85.492409,32.600201
"13","Birmingham Southern College",-86.853636,33.515453
"14","Chattahoochee Valley Community College",-85.031485,32.42391
"15","Concordia College Alabama",-87.023531,32.42443
"16","South University-Montgomery",-86.216488,32.342684
"17","Enterprise State Community College",-85.836956,31.297496
"18","James H Faulkner State Community College",-87.779758,30.852045
"19","Faulkner University",-86.21641,32.384181
"20","Gadsden State Community College",-85.991299,33.991866
"21","New Beginning College of Cosmetology",-86.196979,34.278124
"22","George C Wallace State Community College-Dothan",-85.46355,31.316086
"23","George C Wallace State Community College-Hanceville",-86.781745,34.07341
"24","George C Wallace State Community College-Selma",-87.01324,32.445611
"25","Herzing University-Birmingham",-86.832299,33.468105
"26","Huntingdon College",-86.285313,32.350939
"27","Heritage Christian University",-87.662062,34.859089
"28","J F Drake State Community and Technical College",-86.573817,34.772116
"29","J F Ingram State Technical College",-86.392369,32.582312
"30","Jacksonville State University",-85.766644,33.822128
"31","Jefferson Davis Community College",-87.085829,31.101995
"32","Jefferson State Community College",-86.707387,33.652439
"33","John C Calhoun State Community College",-86.949131,34.65428
"34","Judson College",-87.316127,32.630526
"35","Lawson State Community College-Birmingham Campus",-86.890234,33.451673
"36","University of West Alabama",-88.186077,32.59244
"37","Lurleen B Wallace Community College",-86.452262,31.322947
"38","Marion Military Institute",-87.317998,32.622359
"39","Miles College",-86.908605,33.481306
"40","University of Mobile",-88.128934,30.793247
"41","University of Montevallo",-86.865099,33.10625
"42","Northwest-Shoals Community College",-87.67733,34.739567
"43","University of North Alabama",-87.680999,34.80658
"44","Northeast Alabama Community College",-85.911664,34.545471
"45","Oakwood University",-86.661628,34.756628
"46","Alabama Southern Community College",-87.326352,31.488925
"47","Prince Institute-Southeast",-86.162213,32.383091
"48","Reid State Technical College",-86.964486,31.46071
"49","Bishop State Community College",-88.056982,30.693972
