"","No.","Player","Pos","Ht","Wt","Birth.Date","Exp","College","Team"
"1","34","Giannis Antetokounmpo","SG","6-11",222,"December 6 1994","1","","Bucks"
"2","19","Jerryd Bayless","PG","6-3",200,"August 20 1988","6","University of Arizona","Bucks"
"3","5","Michael Carter-Williams","PG","6-6",190,"October 10 1991","1","Syracuse University","Bucks"
"4","9","Jared Dudley","SG","6-7",225,"July 10 1985","7","Boston College","Bucks"
"5","11","Tyler Ennis","PG","6-3",194,"August 24 1994","R","Syracuse University","Bucks"
"6","13","Jorge Gutierrez","PG","6-3",191,"December 27 1988","1","University of California","Bucks"
"7","31","John Henson","C","6-11",229,"December 28 1990","2","University of North Carolina","Bucks"
"8","7","Ersan Ilyasova","PF","6-10",235,"May 15 1987","6","","Bucks"
"9","23","Chris Johnson","SF","6-6",206,"April 29 1990","2","University of Dayton","Bucks"
"10","11","Brandon Knight","PG","6-3",189,"December 2 1991","3","University of Kentucky","Bucks"
"11","5","Kendall Marshall","PG","6-4",200,"August 19 1991","2","University of North Carolina","Bucks"
"12","6","Kenyon Martin","PF","6-9",234,"December 30 1977","14","University of Cincinnati","Bucks"
"13","0","O.J. Mayo","SG","6-5",210,"November 5 1987","6","University of Southern California","Bucks"
"14","22","Khris Middleton","SF","6-8",234,"August 12 1991","2","Texas A&amp;M University","Bucks"
"15","3","Johnny O'Bryant","PF","6-9",257,"June 1 1993","R","Louisiana State University","Bucks"
"16","27","Zaza Pachulia","C","6-11",270,"February 10 1984","11","","Bucks"
"17","12","Jabari Parker","SF","6-8",250,"March 15 1995","R","Duke University","Bucks"
"18","21","Miles Plumlee","C","6-11",249,"September 1 1988","2","Duke University","Bucks"
"19","8","Larry Sanders","C","6-11",235,"November 21 1988","4","Virginia Commonwealth University","Bucks"
"20","6","Nate Wolters","PG","6-4",190,"May 15 1991","1","South Dakota State University","Bucks"
"21","41","Cameron Bairstow","PF","6-9",250,"December 7 1990","R","University of New Mexico","Bulls"
"22","0","Aaron Brooks","PG","6-0",161,"January 14 1985","6","University of Oregon","Bulls"
"23","21","Jimmy Butler","SG","6-7",220,"September 14 1989","3","Marquette University","Bulls"
"24","34","Mike Dunleavy","SF","6-9",230,"September 15 1980","12","Duke University","Bulls"
"25","16","Pau Gasol","PF","7-0",250,"July 6 1980","13","","Bulls"
"26","22","Taj Gibson","PF","6-9",225,"June 24 1985","5","University of Southern California","Bulls"
"27","12","Kirk Hinrich","SG","6-4",190,"January 2 1981","11","University of Kansas","Bulls"
"28","3","Doug McDermott","SF","6-8",225,"January 3 1992","R","Creighton University","Bulls"
"29","44","Nikola Mirotic","PF","6-10",220,"February 11 1991","R","","Bulls"
"30","48","Nazr Mohammed","C","6-10",221,"September 5 1977","16","University of Kentucky","Bulls"
"31","55","E'Twaun Moore","SG","6-4",191,"February 28 1989","3","Purdue University","Bulls"
"32","13","Joakim Noah","C","6-11",232,"February 25 1985","7","University of Florida","Bulls"
"33","1","Derrick Rose","PG","6-3",190,"October 4 1988","5","University of Memphis","Bulls"
"34","20","Tony Snell","SF","6-7",200,"November 10 1991","1","University of New Mexico","Bulls"
"35","89","Lou Amundson","PF","6-9",220,"December 7 1982","8","University of Nevada Las Vegas","Cavs"
"36","5","Will Cherry","PG","6-0",185,"February 8 1991","R","University of Montana","Cavs"
"37","8","Matthew Dellavedova","SG","6-4",198,"September 8 1990","1","Saint Mary's College of California","Cavs"
"38","12","Joe Harris","SG","6-6",219,"September 7 1991","R","University of Virginia","Cavs"
"39","33","Brendan Haywood","C","7-0",268,"November 27 1979","12","University of North Carolina","Cavs"
"40","2","Kyrie Irving","PG","6-3",193,"March 23 1992","3","Duke University","Cavs"
"41","23","LeBron James","SF","6-8",250,"December 30 1984","11","","Cavs"
"42","1","James Jones","SF","6-8",218,"October 4 1980","11","University of Miami","Cavs"
"43","53","Alex Kirk","C","7-0",245,"November 14 1991","R","University of New Mexico","Cavs"
"44","0","Kevin Love","PF","6-10",251,"September 7 1988","6","University of California Los Angeles","Cavs"
"45","31","Shawn Marion","SF","6-7",220,"May 7 1978","15","University of Nevada Las Vegas","Cavs"
"46","18","Mike Miller","SF","6-8",218,"February 19 1980","14","University of Florida","Cavs"
"47","20","Timofey Mozgov","C","7-1",275,"July 16 1986","4","","Cavs"
"48","3","Kendrick Perkins","C","6-10",270,"November 10 1984","11","","Cavs"
"49","21","A.J. Price","PG","6-2",181,"October 7 1986","5","University of Connecticut","Cavs"
"50","4","Iman Shumpert","SG","6-5",220,"June 26 1990","3","Georgia Institute of Technology","Cavs"
"51","5","J.R. Smith","SG","6-6",225,"September 9 1985","10","","Cavs"
"52","13","Tristan Thompson","PF","6-9",238,"March 13 1991","3","University of Texas at Austin","Cavs"
"53","17","Anderson Varejao","C","6-10",273,"September 28 1982","10","","Cavs"
"54","3","Dion Waiters","SG","6-4",225,"December 10 1991","2","Syracuse University","Cavs"
"55","30","Brandon Bass","PF","6-8",250,"April 30 1985","9","Louisiana State University","Celtics"
"56","0","Avery Bradley","SG","6-2",180,"November 26 1990","4","University of Texas at Austin","Celtics"
"57","99","Jae Crowder","SF","6-6",235,"July 6 1990","2","Marquette University","Celtics"
"58","70","Luigi Datome","SF","6-8",215,"November 27 1987","1","","Celtics"
"59","8","Jeff Green","SF","6-9",235,"August 28 1986","6","Georgetown University","Celtics"
"60","8","Jonas Jerebko","PF","6-10",231,"March 2 1987","4","","Celtics"
"61","28","Jameer Nelson","PG","6-0",190,"February 9 1982","10","Saint Joseph's University","Celtics"
"62","41","Kelly Olynyk","C","7-0",238,"April 19 1991","1","Gonzaga University","Celtics"
"63","12","Dwight Powell","PF","6-11",240,"July 20 1991","R","Stanford University","Celtics"
"64","26","Phil Pressey","PG","5-11",175,"February 17 1991","1","University of Missouri","Celtics"
"65","12","Tayshaun Prince","SF","6-9",212,"February 28 1980","12","University of Kentucky","Celtics"
"66","42","Shavlik Randolph","PF","6-10",240,"November 24 1983","7","Duke University","Celtics"
"67","9","Rajon Rondo","PG","6-1",186,"February 22 1986","8","University of Kentucky","Celtics"
