"","Rk","Player","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Team.x","Salary","Pos"
"1",1,"Nerlens Noel",20,75,71,2311,302,653,0.462,0,0,NA,302,653,0.462,0.462,140,230,0.609,185,426,611,128,133,142,146,208,744,"76ers",3315120,"C"
"2",2,"Robert Covington",24,70,49,1956,299,756,0.396,167,446,0.374,132,310,0.426,0.506,178,217,0.82,65,251,316,105,97,31,128,189,943,"76ers",1e+06,"SF"
"3",6,"Michael Carter-Williams",23,41,38,1391,232,611,0.38,32,125,0.256,200,486,0.412,0.406,117,182,0.643,43,211,254,302,60,18,174,103,613,"76ers",2300040,"PG"
"5",7,"Jerami Grant",20,65,11,1377,124,352,0.352,49,156,0.314,75,196,0.383,0.422,114,193,0.591,49,149,198,79,40,68,85,144,411,"76ers",884879,"SF"
"6",9,"JaKarr Sampson",21,74,32,1131,146,346,0.422,31,127,0.244,115,219,0.525,0.467,63,94,0.67,35,128,163,77,38,26,76,135,386,"76ers",507336,"SF"
"7",10,"Tony Wroten",21,30,15,895,175,434,0.403,37,142,0.261,138,292,0.473,0.446,120,180,0.667,22,64,86,157,48,8,113,72,507,"76ers",1210080,"SG"
"8",11,"Ish Smith",26,25,14,677,128,322,0.398,17,55,0.309,111,267,0.416,0.424,28,48,0.583,10,63,73,152,32,5,69,38,301,"76ers",861405,"PG"
"10",12,"Isaiah Canaan",23,22,12,569,93,247,0.377,59,162,0.364,34,85,0.4,0.496,33,39,0.846,7,47,54,69,15,3,39,55,278,"76ers",816842,"PG"
"12",13,"Furkan Aldemir",23,41,9,540,40,78,0.513,0,5,0,40,73,0.548,0.513,13,27,0.481,78,98,176,28,17,16,17,96,93,"76ers",2963232,"PF"
"13",14,"Jason Richardson",34,19,15,416,62,178,0.348,31,96,0.323,31,82,0.378,0.435,17,22,0.773,13,53,66,38,13,3,16,28,172,"76ers",6601125,"SG"
"14",15,"Thomas Robinson",23,22,0,407,79,169,0.467,0,2,0,79,167,0.473,0.467,35,58,0.603,62,108,170,24,16,9,26,50,193,"76ers",3678360,"PF"
"16",17,"Alexey Shved",26,17,0,285,52,130,0.4,17,57,0.298,35,73,0.479,0.465,48,57,0.842,8,14,22,46,14,1,18,21,169,"76ers",3282056,"SG"
"19",19,"Malcolm Thomas",26,17,0,194,18,40,0.45,0,7,0,18,33,0.545,0.45,9,13,0.692,16,40,56,7,3,1,13,17,45,"76ers",635827,"PF"
"20",20,"Chris Johnson",24,9,2,187,19,60,0.317,10,39,0.256,9,21,0.429,0.4,6,8,0.75,3,23,26,3,9,5,9,19,54,"76ers",107676,"SF"
