"","Player","Team","Salary","Position"
"2","Kobe Bryant","Los Angeles Lakers",23500000,"SF"
"3","Joe Johnson","Brooklyn Nets",23180790,"SF"
"4","Carmelo Anthony","New York Knicks",22458401,"SF"
"5","Dwight Howard","Houston Rockets",21436271,"C"
"6","Chris Bosh","Miami Heat",20644400,"PF"
"7","LeBron James","Cleveland Cavaliers",20644400,"SF"
"8","Chris Paul","Los Angeles Clippers",20068563,"PG"
"9","Deron Williams","Brooklyn Nets",19754465,"PG"
"10","Rudy Gay","Sacramento Kings",19317326,"SF"
"11","Kevin Durant","Oklahoma City Thunder",18995624,"SF"
"13","Derrick Rose","Chicago Bulls",18862876,"PG"
"14","Blake Griffin","Los Angeles Clippers",17674613,"PF"
"15","Zach Randolph","Memphis Grizzlies",16500000,"PF"
"16","LaMarcus Aldridge","Portland Trail Blazers",16006000,"PF"
"17","Paul George","Indiana Pacers",15937290,"SF"
"18","Marc Gasol","Memphis Grizzlies",15829688,"C"
"19","Kevin Love","Cleveland Cavaliers",15719063,"PF"
"20","Russell Westbrook","Oklahoma City Thunder",15719062,"PG"
"21","Brook Lopez","Brooklyn Nets",15719062,"C"
"22","David Lee","Golden State Warriors",15012000,"PF"
"24","Dwyane Wade","Miami Heat",1.5e+07,"SG"
"25","Roy Hibbert","Indiana Pacers",14898938,"C"
"26","Eric Gordon","New Orleans Pelicans",14898938,"SG"
"27","Tyson Chandler","Dallas Mavericks",14846888,"C"
"28","John Wall","Washington Wizards",14746000,"PG"
"29","DeMarcus Cousins","Sacramento Kings",14746000,"PF"
"30","James Harden","Houston Rockets",14728844,"SG"
"31","Chandler Parsons","Dallas Mavericks",14700000,"SF"
"32","Al Jefferson","Charlotte Hornets",13500000,"C"
"33","Nene Hilario","Washington Wizards",1.3e+07,"C"
"35","Eric Bledsoe","Phoenix Suns",1.3e+07,"PG"
"36","Andrew Bogut","Golden State Warriors",12972973,"C"
"37","Derrick Favors","Utah Jazz",12950000,"PF"
"38","Rajon Rondo","Dallas Mavericks",12909090,"PG"
"39","Joakim Noah","Chicago Bulls",12700000,"C"
"40","Tony Parker","San Antonio Spurs",12500000,"PG"
"41","Serge Ibaka","Oklahoma City Thunder",12350000,"PF"
"42","Andre Iguodala","Golden State Warriors",12289544,"SF"
"43","Nikola Pekovic","Minnesota Timberwolves",12100000,"C"
"44","Kyle Lowry","Toronto Raptors",1.2e+07,"PG"
"46","Al Horford","Atlanta Hawks",1.2e+07,"C"
"47","Nicolas Batum","Portland Trail Blazers",11765500,"SG"
"48","Ty Lawson","Denver Nuggets",11595506,"PG"
"49","Andrea Bargnani","New York Knicks",11500000,"C"
"50","DeAndre Jordan","Los Angeles Clippers",11440123,"C"
"51","Tyreke Evans","New Orleans Pelicans",11265416,"SG"
"52","JaVale McGee","Philadelphia 76ers",11250000,"C"
"53","Larry Sanders","Milwaukee Bucks",1.1e+07,"C"
"54","Danilo Gallinari","Denver Nuggets",10854850,"SF"
"55","Stephen Curry","Golden State Warriors",10629213,"PG"
"57","Marcin Gortat","Washington Wizards",10434782,"C"
"58","Tim Duncan","San Antonio Spurs",10361446,"C"
"59","Gerald Wallace","Boston Celtics",10105855,"SF"
"60","DeMar DeRozan","Toronto Raptors",10100000,"SG"
"61","Jrue Holiday","New Orleans Pelicans",9904495,"PG"
"62","Luol Deng","Miami Heat",9714461,"SF"
"63","Anderson Varejao","Cleveland Cavaliers",9704545,"PF"
"64","Steve Nash","Los Angeles Lakers",9701000,"PG"
"65","Paul Millsap","Atlanta Hawks",9500000,"PF"
"66","Thaddeus Young","Brooklyn Nets",9410869,"PF"
"68","Tiago Splitter","San Antonio Spurs",9250000,"C"
"69","Jeff Green","Memphis Grizzlies",9200000,"SF"
"70","Lance Stephenson","Charlotte Hornets",9e+06,"SF"
"71","Jordan Hill","Los Angeles Lakers",9e+06,"C"
"72","Mike Conley","Memphis Grizzlies",8694216,"PG"
"73","Trevor Ariza","Houston Rockets",8579089,"SF"
"74","Channing Frye","Orlando Magic",8579088,"PF"
"75","Marcus Thornton","Phoenix Suns",8575000,"SF"
"76","Ryan Anderson","New Orleans Pelicans",8491500,"PF"
"77","Jeremy Lin","Los Angeles Lakers",8374646,"PG"
"79","Omer Asik","New Orleans Pelicans",8374646,"C"
"80","Monta Ellis","Dallas Mavericks",8360000,"SG"
"81","O.J. Mayo","Milwaukee Bucks",8e+06,"SG"
"82","Jeff Teague","Atlanta Hawks",8e+06,"PG"
"83","Dirk Nowitzki","Dallas Mavericks",7974482,"PF"
"84","Ersan Ilyasova","Milwaukee Bucks",7900000,"PF"
"85","Tayshaun Prince","Memphis Grizzlies",7707865,"SF"
"86","Boris Diaw","San Antonio Spurs",7500000,"C"
"87","Arron Afflalo","Portland Trail Blazers",7500000,"SG"
"88","Goran Dragic","Phoenix Suns",7500000,"PG"
"90","Wesley Matthews","Portland Trail Blazers",7245640,"SG"
"91","Isaiah Thomas","Phoenix Suns",7238606,"PG"
"92","Avery Bradley","Boston Celtics",7191011,"PG"
"93","Pau Gasol","Chicago Bulls",7128000,"C"
"94","Jose Calderon","New York Knicks",7097191,"PG"
"95","Kyrie Irving","Cleveland Cavaliers",7070730,"PG"
"96","Manu Ginobili","San Antonio Spurs",7e+06,"SG"
"97","Marvin Williams","Charlotte Hornets",7e+06,"PF"
"98","Amir Johnson","Toronto Raptors",7e+06,"PF"
"99","Brandon Bass","Boston Celtics",6900000,"PF"
"101","Kevin Martin","Minnesota Timberwolves",6792500,"SG"
"102","J.J. Redick","Los Angeles Clippers",6792500,"SG"
"103","Wilson Chandler","Denver Nuggets",6757913,"SF"
"104","Jason Richardson","Philadelphia 76ers",6601125,"SG"
"105","J.R. Smith","New York Knicks",6515510,"SG"
"106","Carl Landry","Sacramento Kings",6500000,"PF"
"107","Greivis Vasquez","Toronto Raptors",6400000,"PG"
"108","Derrick Williams","Sacramento Kings",6331404,"PF"
"109","Jarrett Jack","Brooklyn Nets",6300000,"PG"
"110","Kyle Korver","Atlanta Hawks",6253521,"SG"
"112","Landry Fields","Toronto Raptors",6250000,"SG"
"113","Robin Lopez","Portland Trail Blazers",6124729,"C"
"114","Jason Thompson","Sacramento Kings",6037500,"PF"
"115","Gerald Henderson","Charlotte Hornets",6e+06,"SG"
"116","Jodie Meeks","Detroit Pistons",6e+06,"SG"
"117","Chuck Hayes","Toronto Raptors",5958750,"PF"
"118","Jason Terry","Houston Rockets",5850313,"SG"
"119","Patrick Patterson","Toronto Raptors",5831326,"PF"
"120","P.J. Tucker","Phoenix Suns",5700000,"SF"
"121","Enes Kanter","Utah Jazz",5694674,"C"
"123","Anthony Davis","New Orleans Pelicans",5607240,"PF"
"124","Anthony Bennett","Minnesota Timberwolves",5563920,"PF"
"125","Andrew Wiggins","Minnesota Timberwolves",5510640,"SG"
"126","Greg Monroe","Detroit Pistons",5479934,"C"
"127","Louis Williams","Toronto Raptors",5450000,"SG"
"128","Courtney Lee","Memphis Grizzlies",5450000,"SG"
"129","Jamal Crawford","Los Angeles Clippers",5450000,"SG"
"130","Martell Webster","Washington Wizards",5381750,"SF"
"131","JJ Hickson","Denver Nuggets",5381750,"C"
"132","Chris Andersen","Miami Heat",5375000,"PF"
"134","Spencer Hawes","Los Angeles Clippers",5305000,"PF"
"135","Josh McRoberts","Miami Heat",5305000,"PF"
"136","Shaun Livingston","Golden State Warriors",5305000,"PG"
"137","Nikola Mirotic","Chicago Bulls",5305000,"PF"
"138","Keith Bogans","Philadelphia 76ers",5285817,"SG"
"139","Zaza Pachulia","Milwaukee Bucks",5200000,"C"
"140","Tristan Thompson","Cleveland Cavaliers",5138430,"C"
"141","Michael Kidd-Gilchrist","Charlotte Hornets",5016960,"SF"
"142","Brandan Wright","Phoenix Suns",5e+06,"PF"
"143","Chase Budinger","Minnesota Timberwolves",5e+06,"SF"
"145","Nick Young","Los Angeles Lakers",4994420,"SF"
"146","Victor Oladipo","Orlando Magic",4978200,"SG"
"147","Jabari Parker","Milwaukee Bucks",4930560,"PF"
"148","Luis Scola","Indiana Pacers",4868499,"PF"
"149","Tony Allen","Memphis Grizzlies",4831461,"SF"
"150","Chris Kaman","Portland Trail Blazers",4800000,"C"
"151","Darren Collison","Sacramento Kings",4797664,"PG"
"152","Kostas Papanikolaou","Houston Rockets",4797664,"SF"
"153","Corey Brewer","Minnesota Timberwolves",4702500,"SG"
"154","Ricky Rubio","Minnesota Timberwolves",4660479,"PG"
"156","Andre Miller","Washington Wizards",4650000,"PG"
"157","Timofey Mozgov","Denver Nuggets",4650000,"C"
"158","Bradley Beal","Washington Wizards",4505280,"SG"
"159","Caron Butler","Detroit Pistons",4500000,"SF"
"160","Jonas Jerebko","Detroit Pistons",4500000,"PF"
"161","Otto Porter Jr.","Washington Wizards",4470480,"SF"
"162","Joel Embiid","Philadelphia 76ers",4427640,"C"
"163","Luc Richard Mbah a Moute","Philadelphia 76ers",4382576,"PF"
"164","Jared Dudley","Milwaukee Bucks",4250000,"SG"
"165","Kris Humphries","Washington Wizards",4250000,"PF"
"167","C.J. Miles","Indiana Pacers",4205000,"SF"
"168","Thabo Sefolosha","Atlanta Hawks",4150000,"SG"
"169","Dion Waiters","Oklahoma City Thunder",4062000,"SG"
"170","Samuel Dalembert","New York Knicks",4051527,"C"
"171","Cody Zeller","Charlotte Hornets",4030560,"PF"
"172","Danny Green","San Antonio Spurs",4025000,"SG"
"173","Mario Chalmers","Miami Heat",4e+06,"PG"
"174","Ian Mahinmi","Indiana Pacers",4e+06,"C"
"175","Aaron Gordon","Orlando Magic",3992040,"PF"
"176","Mo Williams","Charlotte Hornets",3965074,"PG"
"178","Vince Carter","Memphis Grizzlies",3911981,"SG"
"179","Kevin Seraphin","Washington Wizards",3898692,"C"
"180","Devin Harris","Dallas Mavericks",3878896,"PG"
"181","Bismack Biyombo","Charlotte Hornets",3873398,"C"
"182","Patty Mills","San Antonio Spurs",3842105,"PG"
"183","Joel Anthony","Detroit Pistons",3800000,"C"
"184","Raymond Felton","Dallas Mavericks",3793693,"PG"
"185","Jonas Valanciunas","Toronto Raptors",3678360,"C"
"186","Thomas Robinson","Portland Trail Blazers",3678360,"PF"
"187","Marreese Speights","Golden State Warriors",3657500,"C"
"189","Alex Len","Phoenix Suns",3649920,"C"
"190","Dante Exum","Utah Jazz",3615000,"PG"
"191","Brandon Knight","Phoenix Suns",3553917,"PG"
"192","Gerald Green","Phoenix Suns",3500000,"SG"
"193","Darrell Arthur","Denver Nuggets",3457149,"PF"
"194","Steve Novak","Utah Jazz",3445947,"SF"
"195","Matt Barnes","Los Angeles Clippers",3396250,"SF"
"196","Mirza Teletovic","Brooklyn Nets",3368100,"PF"
"197","Damian Lillard","Portland Trail Blazers",3340920,"PG"
"198","Mike Scott","Atlanta Hawks",3333333,"PF"
"200","Tyler Hansbrough","Toronto Raptors",3326235,"PF"
"201","Andrei Kirilenko","Brooklyn Nets",3326235,"SF"
"202","Mike Dunleavy","Chicago Bulls",3326235,"SG"
"203","Nerlens Noel","Philadelphia 76ers",3315120,"PF"
"204","Marcus Smart","Boston Celtics",3283320,"PG"
"205","Alexey Shved","Philadelphia 76ers",3282056,"PG"
"206","Jason Smith","New York Knicks",3278000,"PF"
"207","Evan Turner","Boston Celtics",3278000,"SG"
"208","Kemba Walker","Charlotte Hornets",3272091,"PG"
"209","Carlos Boozer","Los Angeles Lakers",3251000,"PF"
"211","Gary Neal","Charlotte Hornets",3250000,"PG"
"212","Carlos Delfino","Los Angeles Clippers",3250000,"SG"
"213","Anthony Morrow","Oklahoma City Thunder",3200000,"SG"
"214","Dorell Wright","Portland Trail Blazers",3150000,"SF"
"215","Quincy Pondexter","Memphis Grizzlies",3146068,"SF"
"216","Chris Copeland","Indiana Pacers",3135000,"SF"
"217","Klay Thompson","Golden State Warriors",3075880,"SG"
"218","Harrison Barnes","Golden State Warriors",3049920,"SF"
"219","Alec Burks","Utah Jazz",3034356,"SG"
"220","Ben McLemore","Sacramento Kings",3026280,"SG"
"222","Joel Freeland","Portland Trail Blazers",3013512,"C"
"223","Kosta Koufos","Memphis Grizzlies",3e+06,"C"
"224","D.J. Augustin","Oklahoma City Thunder",3e+06,"PG"
"225","Randy Foye","Denver Nuggets",3e+06,"SG"
"226","Julius Randle","Los Angeles Lakers",2997360,"PF"
"227","Markieff Morris","Phoenix Suns",2989239,"PF"
"228","Furkan Aldemir","Philadelphia 76ers",2963232,"PF"
