"","Player","Team","Salary","Position"
"2","Kobe Bryant","Los Angeles Lakers","$23,500,000","SF"
"3","Joe Johnson","Brooklyn Nets","$23,180,790","SF"
"4","Carmelo Anthony","New York Knicks","$22,458,401","SF"
"5","Dwight Howard","Houston Rockets","$21,436,271","C"
"6","Chris Bosh","Miami Heat","$20,644,400","PF"
"7","LeBron James","Cleveland Cavaliers","$20,644,400","SF"
"8","Chris Paul","Los Angeles Clippers","$20,068,563","PG"
"9","Deron Williams","Brooklyn Nets","$19,754,465","PG"
"10","Rudy Gay","Sacramento Kings","$19,317,326","SF"
"11","Kevin Durant","Oklahoma City Thunder","$18,995,624","SF"
"13","Derrick Rose","Chicago Bulls","$18,862,876","PG"
"14","Blake Griffin","Los Angeles Clippers","$17,674,613","PF"
"15","Zach Randolph","Memphis Grizzlies","$16,500,000","PF"
"16","LaMarcus Aldridge","Portland Trail Blazers","$16,006,000","PF"
"17","Paul George","Indiana Pacers","$15,937,290","SF"
"18","Marc Gasol","Memphis Grizzlies","$15,829,688","C"
"19","Kevin Love","Cleveland Cavaliers","$15,719,063","PF"
"20","Russell Westbrook","Oklahoma City Thunder","$15,719,062","PG"
"21","Brook Lopez","Brooklyn Nets","$15,719,062","C"
"22","David Lee","Golden State Warriors","$15,012,000","PF"
"24","Dwyane Wade","Miami Heat","$15,000,000","SG"
"25","Roy Hibbert","Indiana Pacers","$14,898,938","C"
"26","Eric Gordon","New Orleans Pelicans","$14,898,938","SG"
"27","Tyson Chandler","Dallas Mavericks","$14,846,888","C"
"28","John Wall","Washington Wizards","$14,746,000","PG"
"29","DeMarcus Cousins","Sacramento Kings","$14,746,000","PF"
"30","James Harden","Houston Rockets","$14,728,844","SG"
"31","Chandler Parsons","Dallas Mavericks","$14,700,000","SF"
"32","Al Jefferson","Charlotte Hornets","$13,500,000","C"
"33","Nene Hilario","Washington Wizards","$13,000,000","C"
"35","Eric Bledsoe","Phoenix Suns","$13,000,000","PG"
"36","Andrew Bogut","Golden State Warriors","$12,972,973","C"
"37","Derrick Favors","Utah Jazz","$12,950,000","PF"
"38","Rajon Rondo","Dallas Mavericks","$12,909,090","PG"
"39","Joakim Noah","Chicago Bulls","$12,700,000","C"
"40","Tony Parker","San Antonio Spurs","$12,500,000","PG"
"41","Serge Ibaka","Oklahoma City Thunder","$12,350,000","PF"
"42","Andre Iguodala","Golden State Warriors","$12,289,544","SF"
"43","Nikola Pekovic","Minnesota Timberwolves","$12,100,000","C"
"44","Kyle Lowry","Toronto Raptors","$12,000,000","PG"
"46","Al Horford","Atlanta Hawks","$12,000,000","C"
"47","Nicolas Batum","Portland Trail Blazers","$11,765,500","SG"
"48","Ty Lawson","Denver Nuggets","$11,595,506","PG"
"49","Andrea Bargnani","New York Knicks","$11,500,000","C"
"50","DeAndre Jordan","Los Angeles Clippers","$11,440,123","C"
"51","Tyreke Evans","New Orleans Pelicans","$11,265,416","SG"
"52","JaVale McGee","Philadelphia 76ers","$11,250,000","C"
"53","Larry Sanders","Milwaukee Bucks","$11,000,000","C"
"54","Danilo Gallinari","Denver Nuggets","$10,854,850","SF"
"55","Stephen Curry","Golden State Warriors","$10,629,213","PG"
"57","Marcin Gortat","Washington Wizards","$10,434,782","C"
"58","Tim Duncan","San Antonio Spurs","$10,361,446","C"
"59","Gerald Wallace","Boston Celtics","$10,105,855","SF"
"60","DeMar DeRozan","Toronto Raptors","$10,100,000","SG"
"61","Jrue Holiday","New Orleans Pelicans","$9,904,495","PG"
"62","Luol Deng","Miami Heat","$9,714,461","SF"
"63","Anderson Varejao","Cleveland Cavaliers","$9,704,545","PF"
"64","Steve Nash","null Unknown","$9,701,000","PG"
"65","Paul Millsap","Atlanta Hawks","$9,500,000","PF"
"66","Thaddeus Young","Brooklyn Nets","$9,410,869","PF"
"68","Tiago Splitter","San Antonio Spurs","$9,250,000","C"
"69","Jeff Green","Memphis Grizzlies","$9,200,000","SF"
"70","Lance Stephenson","Charlotte Hornets","$9,000,000","SF"
"71","Jordan Hill","Los Angeles Lakers","$9,000,000","C"
"72","Mike Conley","Memphis Grizzlies","$8,694,216","PG"
"73","Trevor Ariza","Houston Rockets","$8,579,089","SF"
"74","Channing Frye","Orlando Magic","$8,579,088","PF"
"75","Marcus Thornton","Phoenix Suns","$8,575,000","SF"
"76","Ryan Anderson","New Orleans Pelicans","$8,491,500","PF"
"77","Jeremy Lin","Los Angeles Lakers","$8,374,646","PG"
"79","Omer Asik","New Orleans Pelicans","$8,374,646","C"
"80","Monta Ellis","Dallas Mavericks","$8,360,000","SG"
"81","O.J. Mayo","Milwaukee Bucks","$8,000,000","SG"
"82","Jeff Teague","Atlanta Hawks","$8,000,000","PG"
"83","Dirk Nowitzki","Dallas Mavericks","$7,974,482","PF"
"84","Ersan Ilyasova","Milwaukee Bucks","$7,900,000","PF"
"85","Tayshaun Prince","Memphis Grizzlies","$7,707,865","SF"
"86","Boris Diaw","San Antonio Spurs","$7,500,000","C"
"87","Arron Afflalo","Portland Trail Blazers","$7,500,000","SG"
"88","Goran Dragic","Phoenix Suns","$7,500,000","PG"
"90","Wesley Matthews","Portland Trail Blazers","$7,245,640","SG"
"91","Isaiah Thomas","Phoenix Suns","$7,238,606","PG"
"92","Avery Bradley","Boston Celtics","$7,191,011","PG"
"93","Pau Gasol","Chicago Bulls","$7,128,000","C"
"94","Jose Calderon","New York Knicks","$7,097,191","PG"
"95","Kyrie Irving","Cleveland Cavaliers","$7,070,730","PG"
"96","Manu Ginobili","San Antonio Spurs","$7,000,000","SG"
"97","Marvin Williams","Charlotte Hornets","$7,000,000","PF"
"98","Amir Johnson","Toronto Raptors","$7,000,000","PF"
"99","Brandon Bass","Boston Celtics","$6,900,000","PF"
"101","Kevin Martin","Minnesota Timberwolves","$6,792,500","SG"
"102","J.J. Redick","Los Angeles Clippers","$6,792,500","SG"
"103","Wilson Chandler","Denver Nuggets","$6,757,913","SF"
"104","Jason Richardson","Philadelphia 76ers","$6,601,125","SG"
"105","J.R. Smith","New York Knicks","$6,515,510","SG"
"106","Carl Landry","Sacramento Kings","$6,500,000","PF"
"107","Greivis Vasquez","Toronto Raptors","$6,400,000","PG"
"108","Derrick Williams","Sacramento Kings","$6,331,404","PF"
"109","Jarrett Jack","Brooklyn Nets","$6,300,000","PG"
"110","Kyle Korver","Atlanta Hawks","$6,253,521","SG"
"112","Landry Fields","Toronto Raptors","$6,250,000","SG"
"113","Robin Lopez","Portland Trail Blazers","$6,124,729","C"
"114","Jason Thompson","Sacramento Kings","$6,037,500","PF"
"115","Gerald Henderson","Charlotte Hornets","$6,000,000","SG"
"116","Jodie Meeks","Detroit Pistons","$6,000,000","SG"
"117","Chuck Hayes","Toronto Raptors","$5,958,750","PF"
"118","Jason Terry","Houston Rockets","$5,850,313","SG"
"119","Patrick Patterson","Toronto Raptors","$5,831,326","PF"
"120","P.J. Tucker","Phoenix Suns","$5,700,000","SF"
"121","Enes Kanter","Utah Jazz","$5,694,674","C"
"123","Anthony Davis","New Orleans Pelicans","$5,607,240","PF"
"124","Anthony Bennett","Minnesota Timberwolves","$5,563,920","PF"
"125","Andrew Wiggins","Minnesota Timberwolves","$5,510,640","SG"
"126","Greg Monroe","Detroit Pistons","$5,479,934","C"
"127","Louis Williams","Toronto Raptors","$5,450,000","SG"
"128","Courtney Lee","Memphis Grizzlies","$5,450,000","SG"
"129","Jamal Crawford","Los Angeles Clippers","$5,450,000","SG"
"130","Martell Webster","Washington Wizards","$5,381,750","SF"
"131","JJ Hickson","Denver Nuggets","$5,381,750","C"
"132","Chris Andersen","Miami Heat","$5,375,000","PF"
"134","Spencer Hawes","Los Angeles Clippers","$5,305,000","PF"
"135","Josh McRoberts","Miami Heat","$5,305,000","PF"
"136","Shaun Livingston","Golden State Warriors","$5,305,000","PG"
"137","Nikola Mirotic","Chicago Bulls","$5,305,000","PF"
"138","Keith Bogans","Philadelphia 76ers","$5,285,817","SG"
"139","Zaza Pachulia","Milwaukee Bucks","$5,200,000","C"
"140","Tristan Thompson","Cleveland Cavaliers","$5,138,430","C"
"141","Michael Kidd-Gilchrist","Charlotte Hornets","$5,016,960","SF"
"142","Brandan Wright","Phoenix Suns","$5,000,000","PF"
"143","Chase Budinger","Minnesota Timberwolves","$5,000,000","SF"
"145","Nick Young","Los Angeles Lakers","$4,994,420","SF"
"146","Victor Oladipo","Orlando Magic","$4,978,200","SG"
"147","Jabari Parker","Milwaukee Bucks","$4,930,560","PF"
"148","Luis Scola","Indiana Pacers","$4,868,499","PF"
"149","Tony Allen","Memphis Grizzlies","$4,831,461","SF"
"150","Chris Kaman","Portland Trail Blazers","$4,800,000","C"
"151","Darren Collison","Sacramento Kings","$4,797,664","PG"
"152","Kostas Papanikolaou","Houston Rockets","$4,797,664","SF"
"153","Corey Brewer","Minnesota Timberwolves","$4,702,500","SG"
"154","Ricky Rubio","Minnesota Timberwolves","$4,660,479","PG"
"156","Andre Miller","Washington Wizards","$4,650,000","PG"
"157","Timofey Mozgov","Denver Nuggets","$4,650,000","C"
"158","Bradley Beal","Washington Wizards","$4,505,280","SG"
"159","Caron Butler","Detroit Pistons","$4,500,000","SF"
"160","Jonas Jerebko","Detroit Pistons","$4,500,000","PF"
"161","Otto Porter Jr.","Washington Wizards","$4,470,480","SF"
"162","Joel Embiid","Philadelphia 76ers","$4,427,640","C"
"163","Luc Richard Mbah a Moute","Philadelphia 76ers","$4,382,576","PF"
"164","Jared Dudley","Milwaukee Bucks","$4,250,000","SG"
"165","Kris Humphries","Washington Wizards","$4,250,000","PF"
"167","C.J. Miles","Indiana Pacers","$4,205,000","SF"
"168","Thabo Sefolosha","Atlanta Hawks","$4,150,000","SG"
"169","Dion Waiters","Oklahoma City Thunder","$4,062,000","SG"
"170","Samuel Dalembert","New York Knicks","$4,051,527","C"
"171","Cody Zeller","Charlotte Hornets","$4,030,560","PF"
"172","Danny Green","San Antonio Spurs","$4,025,000","SG"
"173","Mario Chalmers","Miami Heat","$4,000,000","PG"
"174","Ian Mahinmi","Indiana Pacers","$4,000,000","C"
"175","Aaron Gordon","Orlando Magic","$3,992,040","PF"
"176","Mo Williams","Charlotte Hornets","$3,965,074","PG"
"178","Vince Carter","Memphis Grizzlies","$3,911,981","SG"
"179","Kevin Seraphin","Washington Wizards","$3,898,692","C"
"180","Devin Harris","Dallas Mavericks","$3,878,896","PG"
"181","Bismack Biyombo","Charlotte Hornets","$3,873,398","C"
"182","Patty Mills","San Antonio Spurs","$3,842,105","PG"
"183","Joel Anthony","Detroit Pistons","$3,800,000","C"
"184","Raymond Felton","Dallas Mavericks","$3,793,693","PG"
"185","Jonas Valanciunas","Toronto Raptors","$3,678,360","C"
"186","Thomas Robinson","Portland Trail Blazers","$3,678,360","PF"
"187","Marreese Speights","Golden State Warriors","$3,657,500","C"
"189","Alex Len","Phoenix Suns","$3,649,920","C"
"190","Dante Exum","Utah Jazz","$3,615,000","PG"
"191","Brandon Knight","Phoenix Suns","$3,553,917","PG"
"192","Gerald Green","Phoenix Suns","$3,500,000","SG"
"193","Darrell Arthur","Denver Nuggets","$3,457,149","PF"
"194","Steve Novak","Utah Jazz","$3,445,947","SF"
"195","Matt Barnes","Los Angeles Clippers","$3,396,250","SF"
"196","Mirza Teletovic","Brooklyn Nets","$3,368,100","PF"
"197","Damian Lillard","Portland Trail Blazers","$3,340,920","PG"
"198","Mike Scott","Atlanta Hawks","$3,333,333","PF"
"200","Tyler Hansbrough","Toronto Raptors","$3,326,235","PF"
"201","Andrei Kirilenko","Brooklyn Nets","$3,326,235","SF"
"202","Mike Dunleavy","Chicago Bulls","$3,326,235","SG"
"203","Nerlens Noel","Philadelphia 76ers","$3,315,120","PF"
"204","Marcus Smart","Boston Celtics","$3,283,320","PG"
"205","Alexey Shved","Philadelphia 76ers","$3,282,056","PG"
"206","Jason Smith","New York Knicks","$3,278,000","PF"
"207","Evan Turner","Boston Celtics","$3,278,000","SG"
"208","Kemba Walker","Charlotte Hornets","$3,272,091","PG"
"209","Carlos Boozer","Los Angeles Lakers","$3,251,000","PF"
"211","Gary Neal","Charlotte Hornets","$3,250,000","PG"
"212","Carlos Delfino","Los Angeles Clippers","$3,250,000","SG"
"213","Anthony Morrow","Oklahoma City Thunder","$3,200,000","SG"
"214","Dorell Wright","Portland Trail Blazers","$3,150,000","SF"
"215","Quincy Pondexter","Memphis Grizzlies","$3,146,068","SF"
